,country,alcohol_consumption,life_expectancy,population,gdp
0,Albania,4.8796275,74.13,3581655,4500.0
1,Algeria,0.6920199,71.82955,32930091,6000.0
2,Andorra,12.3321495,82.65301,71201,19000.0
3,Angola,5.660367900000001,51.74093,12127071,1900.0
4,Argentina,7.7896599,76.31537,39921833,11200.0
5,Armenia,3.7440051,71.02699,2976372,3500.0
6,Australia,9.6705345,82.58784,20264082,29000.0
7,Austria,9.6705345,81.31606,8192880,30000.0
8,Azerbaijan,1.2775752,72.4111,7961619,3400.0
9,Bahrain,1.9873392,77.24355,698585,16900.0
10,Barbados,6.2459232,78.14867,279912,15700.0
11,Belarus,9.883463699999998,71.80493,10293011,6100.0
12,Belgium,10.4867631,80.48828,10379067,29100.0
13,Belize,6.8314785,75.23206,287730,4900.0
14,Benin,0.9049491,58.839,7862944,1100.0
15,Bhutan,0.4081143,68.38161,2279723,1300.0
16,Botswana,4.3118163,64.15195,1639833,9000.0
17,Brazil,7.2041046,75.17133000000001,188078227,7600.0
18,Bulgaria,10.2383457,74.51299,7385367,7600.0
19,Burkina Faso,0.6920199,58.565169999999995,13902972,1100.0
20,Burundi,1.5614808,56.20936999999999,8090068,600.0
21,Cambodia,2.1825243,72.61407,13881427,1900.0
22,Cameroon,2.6971032000000004,56.57552,17340702,1800.0
23,Canada,8.1977742,81.97529,33098932,29800.0
24,Chad,0.3016497,51.7094,9944201,1200.0
25,Chile,7.5589866,80.05825,16134219,9900.0
26,China,4.950603900000001,75.48225,1313973713,5000.0
27,Colombia,4.2230958,78.06821,43593035,6300.0
28,Comoros,0.08872050000000001,61.86594,690948,700.0
29,Cook Islands,5.8200648,75.82879,21388,5000.0
30,Costa Rica,4.3827927,79.31783,4075261,9100.0
31,Croatia,10.1318811,78.15862,4494749,10600.0
32,Cuba,4.1698635,78.29335999999999,11382820,2900.0
33,Cyprus,8.1445419,81.88436999999999,784301,19200.0
34,Czech Republic,11.7998265,78.23040999999999,10235455,15700.0
35,Denmark,13.3613073,79.90733,5450661,31100.0
36,Djibouti,1.1001341999999998,61.757580000000004,486530,1300.0
37,Dominica,6.4588524000000005,74.82866999999999,68910,5400.0
38,Dominican Republic,6.1926909000000006,73.69259,9183984,6000.0
39,Ecuador,4.2408399,75.74088,13547510,3300.0
40,Egypt,0.1951851,71.34473,78887007,4000.0
41,El Salvador,2.1825243,72.56444,6822378,4800.0
42,Equatorial Guinea,5.7668325,55.93278000000001,540109,2700.0
43,Eritrea,0.3193938,63.85941,4786994,700.0
44,Estonia,8.463935699999999,76.89989,1324333,12300.0
45,Ethiopia,0.4081143,64.67994,74777981,700.0
46,Fiji,2.0050833,69.56511,905949,5800.0
47,Finland,8.7478413,80.78438,5231372,27400.0
48,France,11.498176800000001,82.01347,60876136,27600.0
49,Gabon,8.9430264,63.656859999999995,1424906,5500.0
50,Georgia,5.3409740999999995,74.43595,4661473,2500.0
51,Germany,11.320735800000001,80.94221,82422299,27600.0
